랭킹,곡,아티스트,앨범
1,사건의 지평선,윤하(Younha/ユンナ),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
2,Nxde,(여자)아이들,I love
3,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
4,After LIKE,IVE (아이브),After LIKE
5,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
6,새삥 (Prod. ZICO) (Feat. 호미들),지코,스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
7,PINK MOON,류수정,PINK MOON
8,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
9,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
10,LOVE DIVE,IVE (아이브),LOVE DIVE
11,TAP,SECRET NUMBER (시크릿넘버),TAP
12,우린 그렇게 사랑해서,강민경,우린 그렇게 사랑해서
13,SLAM,SECRET NUMBER (시크릿넘버),TAP
14,Got That Boom,SECRET NUMBER (시크릿넘버),Got That Boom
15,Shut Down,BLACKPINK,BORN PINK
16,Who Dis?,SECRET NUMBER (시크릿넘버),Who Dis?
17,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
18,Holiday,SECRET NUMBER (시크릿넘버),Who Dis?
19,편지 (영화 '동감' X 윤하 (YOUNHA)),윤하(Younha/ユンナ),편지 (영화 '동감' X 윤하 (YOUNHA))
20,Pink Venom,BLACKPINK,BORN PINK
21,오르트구름,윤하(Younha/ユンナ),YOUNHA 6th Album 'END THEORY'
22,Monologue,테이(Tei),Monologue
23,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
24,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7
25,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
26,Unholy,Sam Smith(샘 스미스),Unholy
27,해요 (2022),#안녕,해요 (2022)
28,나의 X에게,경서,나의 X에게
29,오랫동안,성시경,오랫동안 (커튼콜 OST Part.5)
30,내가 아니라도,주호,내가 아니라도
31,주저하는 연인들을 위해,잔나비,전설
32,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
33,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
34,첫사랑,백아(Baek A),첫사랑
35,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,봉춤을 추네
36,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
37,ELEVEN,IVE (아이브),ELEVEN
38,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album
39,TOMBOY,(여자)아이들,I NEVER DIE
40,딱 10CM만,10CM,딱 10CM만
41,떠나보낼 준비해 둘걸 그랬어,임한별,떠나보낼 준비해 둘걸 그랬어
42,Love story,볼빨간사춘기,Seoul
43,DICE,NMIXX,ENTWURF
44,그라데이션,10CM,5.3
45,That's Hilarious,Charlie Puth(찰리 푸스),That's Hilarious
46,Selfish,유아 (오마이걸),SELFISH
47,모든 계절은 너였다,길구봉구,모든 계절은 너였다
48,가을밤에 든 생각,잔나비,잔나비 소곡집 l
49,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition)
50,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
51,STAY,The Kid LAROI,STAY
52,London Boy,임영웅,Polaroid
53,LOVE me,BE'O (비오),LOVE me
54,고백연습,경서,고백연습
55,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
56,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
57,드라마,아이유(IU),조각집
58,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
59,When I Get Old,Christopher(크리스토퍼),When I Get Old
60,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
61,찰나,조용필,Road to 20 - Prelude 1
62,Snowman,Sia(시아),Everyday Is Christmas (Snowman Deluxe Edition)
63,인형의 꿈,일기예보,좋아좋아
64,그래서 그대는,이영현,그래서 그대는
65,I Ain't Worried,OneRepublic(원리퍼블릭),탑건 : 매버릭 (Top Gun: Maverick) (영화 OST)
66,새벽에 걸려온 너의 전화는,한동근,미련을 말하는
67,GHOST TOWN,Benson Boone,GHOST TOWN
68,진심이었던 사람만 바보가 돼,권진아,진심이었던 사람만 바보가 돼
69,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
70,Blueming,아이유(IU),Love poem
71,strawberry moon,아이유(IU),strawberry moon
72,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스),Left and Right (Feat. Jung Kook of BTS)
73,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
74,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,MONKEY HOTEL
75,SNEAKERS,ITZY (있지),CHECKMATE
76,Anti-Hero,Taylor Swift(테일러 스위프트),Midnights (3am Edition)
77,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
78,Polaroid,임영웅,Polaroid
79,LAW (Prod. Czaer),윤미래,스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
80,취중고백,김민석 (멜로망스),취중고백
81,팡파레,다비치,Season Note
82,Talk that Talk,TWICE (트와이스),BETWEEN 1&2
83,세렝게티처럼,조용필,Road to 20 - Prelude 1
84,신호등,이무진,신호등
85,INVU,태연 (TAEYEON),INVU - The 3rd Album
86,어른,Sondia,나의 아저씨 (tvN 수목드라마) OST - Part.2
87,거리에서,성시경,The Ballads
88,집에 돌아가는 길 외롭다,먼데이 키즈(Monday Kiz),집에 돌아가는 길 외롭다
89,파노라마,이찬혁,ERROR
90,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9
91,고백,멜로망스(MeloMance),세 번째 '고백'
92,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),The 1st Mini Album '광화문에서 (At Gwanghwamun)'
93,구해줘,허각,구해줘
94,예뻤어,DAY6 (데이식스),Every DAY6 February
95,사랑은...향기를 남기고,테이(Tei),The First Journey
96,선물,멜로망스(MeloMance),Moonlight
97,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
98,다시 사랑한다면 (니글니글 버터플라이),김필(Kim Feel),복면가왕 47회
99,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽(MAKTUB),Red Moon : To You My Light
100,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
